"id","answer","description","date_posted","img_url","started","solved","users_with_hints","total_hints","solve_rate","hint_usage","avg_hints","difficulty"
171,"громкость","Гром (звук из тучи) + Кость (эмодзи)","2025-11-17","/daily-rebuses/171.jpg","1168","1142","329","396","0.9777","0.2817","0.3390","0.1346"
172,"клапан","К + Лапа (кошечкина ручка) + Н","2025-11-18","/daily-rebuses/172.jpg","1142","1142","35","52","1.0000","0.0306","0.0455","0.0145"
173,"стон","Сто (нужно посчитать) + Н","2025-11-19","/daily-rebuses/173.jpg","1136","1123","384","533","0.9886","0.3380","0.4692","0.1618"
174,"воздух","Воз (телега) + Дух (призрак)","2025-11-20","/daily-rebuses/174.jpg","1139","1099","632","1005","0.9649","0.5549","0.8824","0.2921"
175,"стенли кубрик|стэнли кубрик|кубрик стенли|кубрик стэнли","Кубрик (кубок, где О = Ри) + Стэнли (фамилия)","2025-11-21","/daily-rebuses/175.jpg","1120","1080","393","566","0.9643","0.3509","0.5054","0.1850"
176,"высоты|высота","В (местонахождение) + Ы + Соты (ячейки с медом)","2025-11-22","/daily-rebuses/176.jpg","1110","1095","127","214","0.9865","0.1144","0.1928","0.0656"
177,"гандикап","Ганди (Махатма) + Кап (cup - кружка)","2025-11-23","/daily-rebuses/177.jpg","1132","1097","467","834","0.9691","0.4125","0.7367","0.2322"
178,"двусторонний скотч","Двусторонний (в две стороны) + скотч (скотч-терьер)","2025-11-24","/daily-rebuses/178.jpg","1130","1089","606","1265","0.9637","0.5363","1.1195","0.3238"
179,"триумф","Три (количество) + Умф","2025-11-25","/daily-rebuses/179.jpg","1132","1126","64","75","0.9947","0.0565","0.0663","0.0273"
180,"чайка","Чай (напиток) + Ка (буква К)","2025-11-26","/daily-rebuses/180.jpg","1143","1133","267","372","0.9913","0.2336","0.3255","0.1125"
181,"задача","Зад (задняя часть) + Ача","2025-11-27","/daily-rebuses/181.jpg","1114","1082","489","863","0.9713","0.4390","0.7747","0.2432"
182,"кассовый разрыв","Кассовый (от слова ""касса"") + Разрыв (повреждение бумаги)","2025-11-28","/daily-rebuses/182.jpg","1093","1055","533","1018","0.9652","0.4876","0.9314","0.2825"
183,"аббат","Абба (группа) + Т","2025-11-29","/daily-rebuses/183.jpg","1132","1123","182","299","0.9920","0.1608","0.2641","0.0846"
184,"пресса","Пресс (устройство) + А","2025-11-30","/daily-rebuses/184.jpg","1131","1117","191","266","0.9876","0.1689","0.2352","0.0849"
185,"свитер","Свит (что сделан?) + эР (буква Р)","2025-12-01","/daily-rebuses/185.jpg","1156","1113","653","1373","0.9628","0.5649","1.1877","0.3417"
186,"полоса","Пол (поверхность) + Оса (насекомое)","2025-12-02","/daily-rebuses/186.jpg","1127","1108","402","597","0.9831","0.3567","0.5297","0.1787"
187,"ингосстрах","Ин (предлог В) + Гос + Страх (эмодзи)","2025-12-03","/daily-rebuses/187.jpg","1148","1114","532","999","0.9704","0.4634","0.8702","0.2642"
188,"кисель","Кис (участник группы Kiss) + Ель (дерево)","2025-12-04","/daily-rebuses/188.jpg","1140","1117","295","429","0.9798","0.2588","0.3763","0.1332"
189,"медовый месяц","Медовый (из меда) + Месяц (часть диска Луны)","2025-12-05","/daily-rebuses/189.jpg","1099","1088","225","353","0.9900","0.2047","0.3212","0.1054"
190,"дом","До (нота) + М","2025-12-06","/daily-rebuses/190.jpg","1088","1083","160","241","0.9954","0.1471","0.2215","0.0727"
191,"ирис","И (буква) + Рис (зерно)","2025-12-07","/daily-rebuses/191.jpg","1131","1131","63","98","1.0000","0.0557","0.0866","0.0269"
192,"шут гороховый|гороховый шут","Горох + Шут","2025-12-08","/daily-rebuses/192.jpg","1154","1149","110","140","0.9957","0.0953","0.1213","0.0446"
193,"фраза","Ф + Раз (один) + А","2025-12-09","/daily-rebuses/193.jpg","1156","1144","426","794","0.9896","0.3685","0.6869","0.2014"
194,"ризотто","Риз (Уизеоспун) + Отто (фон Бисмарк)","2025-12-10","/daily-rebuses/194.jpg","1163","1145","361","586","0.9845","0.3104","0.5039","0.1625"
195,"фотон","Фото (фотография) + Н","2025-12-11","/daily-rebuses/195.jpg","1128","1125","143","227","0.9973","0.1268","0.2012","0.0635"
196,"чизкейк","Чиз (сыр) + Кейк (торт)","2025-12-12","/daily-rebuses/196.jpg","1112","1093","353","389","0.9829","0.3174","0.3498","0.1421"
197,"стриж","С + Три (количество букв) + Ж","2025-12-13","/daily-rebuses/197.jpg","1095","1091","202","242","0.9963","0.1845","0.2210","0.0815"
198,"ромб","Ром (напиток) + Б","2025-12-14","/daily-rebuses/198.jpg","1125","1120","221","298","0.9956","0.1964","0.2649","0.0915"
199,"рисунок","Ри (Рианна) + Сунок (конус наоборот)","2025-12-15","/daily-rebuses/199.jpg","1153","1128","664","1201","0.9783","0.5759","1.0416","0.3132"
200,"терминатор","Термин (понятие) + Атор","2025-12-16","/daily-rebuses/200.jpg","1128","1106","541","1092","0.9805","0.4796","0.9681","0.2768"
201,"деловая колбаса","Деловая (бизнесмен) + Колбаса","2025-12-17","/daily-rebuses/201.jpg","1117","1107","283","437","0.9910","0.2534","0.3912","0.1274"
202,"шарлатан","Шар (сфера) + Латан (Златан Ибрагимович без первой буквы)","2025-12-18","/daily-rebuses/202.jpg","1112","1095","328","548","0.9847","0.2950","0.4928","0.1568"
203,"богослов","Бог (высшее существо) + Ослов (чей)","2025-12-19","/daily-rebuses/203.jpg","1135","1112","620","1269","0.9797","0.5463","1.1181","0.3164"
204,"подножка","Под (расположение) + Нож + Ка (car - машина)","2025-12-20","/daily-rebuses/204.jpg","1095","1076","482","884","0.9826","0.4402","0.8073","0.2416"
205,"снег","С + Не (отрицание) + Г","2025-12-21","/daily-rebuses/205.jpg","1132","1132","80","103","1.0000","0.0707","0.0910","0.0313"
206,"молокосос","Молоко (в стакане) + Сос (sos из Азбуки Морзе)","2025-12-22","/daily-rebuses/206.jpg","1137","1126","287","458","0.9903","0.2524","0.4028","0.1293"
207,"канапе","Ка + На (расположение) + Пе","2025-12-23","/daily-rebuses/207.jpg","1140","1134","210","320","0.9947","0.1842","0.2807","0.0913"
208,"тротил","Трот (перевернутый торт) + Ил (перевернутый Ли)","2025-12-24","/daily-rebuses/208.jpg","1131","1120","246","432","0.9903","0.2175","0.3820","0.1175"
209,"тупик","Ту (двойка) + Пик (масть)","2025-12-25","/daily-rebuses/209.jpg","1116","1107","190","244","0.9919","0.1703","0.2186","0.0802"
210,"холли берри","Холл (вестибюль) + И (соединительная гласная) + Берри (ягода на английском)","2025-12-26","/daily-rebuses/210.jpg","1105","1082","636","1154","0.9792","0.5756","1.0443","0.3130"
211,"уют","У (предлог) + Ю + Т","2025-12-27","/daily-rebuses/211.jpg","1104","1095","236","378","0.9918","0.2138","0.3424","0.1097"
212,"лампас","Лампа + С","2025-12-28","/daily-rebuses/212.jpg","1119","1106","231","382","0.9884","0.2064","0.3414","0.1098"
213,"сорока","Сор (мусор) + Ока (глАза)","2025-12-29","/daily-rebuses/213.jpg","1126","1104","539","827","0.9805","0.4787","0.7345","0.2416"
214,"родина","Р + Один + А","2025-12-30","/daily-rebuses/214.jpg","1092","1089","115","147","0.9973","0.1053","0.1346","0.0482"
215,"с новым годом","Символ СНГ (С + Новым + Годом)","2025-12-31","/daily-rebuses/215.jpg","1074","1043","503","865","0.9711","0.4683","0.8054","0.2552"
216,"оливье","Салат на картинке","2026-01-01","/daily-rebuses/216.jpg","1255","1191","171","178","0.9490","0.1363","0.1418","0.0859"
217,"куча мала|куча-мала","Небольшая горка снега","2026-01-02","/daily-rebuses/217.jpg","1263","1117","689","1520","0.8844","0.5455","1.2035","0.3863"
218,"стример","С + Три + Мер","2026-01-03","/daily-rebuses/218.jpg","1220","1177","202","250","0.9648","0.1656","0.2049","0.0933"
219,"колготки","Кол (заостренная палка) + Готки (чей, девушки-гота)","2026-01-04","/daily-rebuses/219.jpg","1207","1152","408","609","0.9544","0.3380","0.5046","0.1875"
220,"рогалик","Рога + Лик","2026-01-05","/daily-rebuses/220.jpg","1189","1185","30","36","0.9966","0.0252","0.0303","0.0129"
221,"биполярное расстройство","Два (би) полюса (полярное) грустные (расстройство)","2026-01-06","/daily-rebuses/221.jpg","1258","1155","809","1943","0.9181","0.6431","1.5445","0.4416"
222,"поплавок","Поп (священник) + Лав (символ любви) + Ок (жест ""окей"")","2026-01-07","/daily-rebuses/222.jpg","1213","1140","515","884","0.9398","0.4246","0.7288","0.2516"
223,"экран","Э + Кран","2026-01-08","/daily-rebuses/223.jpg","1201","1188","56","81","0.9892","0.0466","0.0674","0.0283"
224,"портос","Порт (место) + Ос (принадлежит насекомым)","2026-01-09","/daily-rebuses/224.jpg","1192","1146","440","831","0.9614","0.3691","0.6971","0.2200"
225,"радар","Ра (бог солнца) + Дар (подарок)","2026-01-10","/daily-rebuses/225.jpg","1256","1202","378","611","0.9570","0.3010","0.4865","0.1740"
226,"санпин","Сан (солнце) + Пин (смешарик)","2026-01-11","/daily-rebuses/226.jpg","1266","1210","351","612","0.9558","0.2773","0.4834","0.1684"
227,"гогот","Го (игра) + Гот (субкультура)","2026-01-12","/daily-rebuses/227.jpg","1258","733","415","661","0.5827","0.3299","0.5254","0.4117"
228,"ключица","Ключи + Ц + А","2026-01-13","/daily-rebuses/228.jpg","1251","1243","125","206","0.9936","0.0999","0.1647","0.0535"
229,"мигель","Ми (нота) + Гель (вещество)","2026-01-14","/daily-rebuses/229.jpg","1342","1281","638","1296","0.9545","0.4754","0.9657","0.2910"
230,"рубаха парень|рубаха-парень","Рубаха (одежда) + Парень (символ Марса)","2026-01-15","/daily-rebuses/230.jpg","1237","1182","538","837","0.9555","0.4349","0.6766","0.2369"
231,"футбол","Фут (мера длины) + Бол (мяч)","2026-01-16","/daily-rebuses/231.jpg","1240","1198","238","345","0.9661","0.1919","0.2782","0.1100"
232,"таджикистан","Таджики (национальность) + Стан (нотный)","2026-01-17","/daily-rebuses/232.jpg","1209","1160","647","1324","0.9595","0.5352","1.0951","0.3224"
233,"кишлак","Киш (король и шут) + Лак (средство для ногтей)","2026-01-18","/daily-rebuses/233.jpg","1234","1215","261","460","0.9846","0.2115","0.3728","0.1180"
234,"эминем|eminem","Эм + И (амперсанд) + Нем (немой смайлик)","2026-01-19","/daily-rebuses/234.jpg","1216","1167","634","1225","0.9597","0.5214","1.0074","0.3056"
235,"ежовые рукавицы","Рукавицы из иголок ежа","2026-01-20","/daily-rebuses/235.jpg","1236","1218","254","350","0.9854","0.2055","0.2832","0.1026"
236,"стройка","С + Тройка (лошадей)","2026-01-21","/daily-rebuses/236.jpg","1242","1219","304","526","0.9815","0.2448","0.4235","0.1358"
237,"изюм","Из (из чего) + Ю + М","2026-01-22","/daily-rebuses/237.jpg","1278","1266","256","456","0.9906","0.2003","0.3568","0.1092"
238,"корма","Корм (продукт) + А","2026-01-23","/daily-rebuses/238.jpg","1255","1245","255","481","0.9920","0.2032","0.3833","0.1131"
239,"наезд","На (где) + Е + ЗД","2026-01-24","/daily-rebuses/239.jpg","1244","1239","197","347","0.9960","0.1584","0.2789","0.0838"
240,"кнопка слива","Кнопка + Слива (имеется в виду сантехнический слив)","2026-01-25","/daily-rebuses/240.jpg","1299","1269","607","1237","0.9769","0.4673","0.9523","0.2735"
241,"звездная болезнь","Звездная (морская звезда) + Болезнь (плохо себя чувствует)","2026-01-26","/daily-rebuses/241.jpg","1307","1285","391","665","0.9832","0.2992","0.5088","0.1612"
242,"шарада","Шар (воздушный) + Ада (в аду)","2026-01-27","/daily-rebuses/242.jpg","1286","1274","325","563","0.9907","0.2527","0.4378","0.1344"
243,"пластик","П + Ластик (стирательная резинка)","2026-01-28","/daily-rebuses/243.jpg","1291","1290","74","97","0.9992","0.0573","0.0751","0.0261"
244,"сансара","Сан (sun - солнце) + Сара (Коннор)","2026-01-29","/daily-rebuses/244.jpg","1292","1267","395","632","0.9807","0.3057","0.4892","0.1614"
245,"кубок","Куб (геометрическое тело) + Ок (жест)","2026-01-30","/daily-rebuses/245.jpg","1291","1285","108","188","0.9954","0.0837","0.1456","0.0455"
246,"первый блин комом","Первый (на первом месте) + Блин + Комом (шар)","2026-01-31","/daily-rebuses/246.jpg","1310","1280","519","721","0.9771","0.3962","0.5504","0.1953"
247,"патриот","Па (балетное движение) + Три (количество) + От (слог)","2026-02-01","/daily-rebuses/247.jpg","1283","1259","562","1155","0.9813","0.4380","0.9002","0.2558"
248,"умка","Ум (мозг) + Ка (буква)","2026-02-02","/daily-rebuses/248.jpg","1297","1272","696","1219","0.9807","0.5366","0.9399","0.2867"
249,"зубр","Зуб + Р","2026-02-03","/daily-rebuses/249.jpg","1311","1307","143","230","0.9969","0.1091","0.1754","0.0554"
250,"коренье","Корень (знак) + Е","2026-02-04","/daily-rebuses/250.jpg","1293","1276","339","655","0.9869","0.2622","0.5066","0.1494"
251,"мать","Мат (на письме шифруется этими символами) + Ь","2026-02-05","/daily-rebuses/251.jpg","1317","1305","347","533","0.9909","0.2635","0.4047","0.1320"
252,"индиана","Ин (домен Индии) + Диана (Принцесса)","2026-02-06","/daily-rebuses/252.jpg","1304","1276","706","1688","0.9785","0.5414","1.2945","0.3424"
253,"душнила","Душ (сантехника) + Нила (река, душ чей)","2026-02-07","/daily-rebuses/253.jpg","1295","1274","387","510","0.9838","0.2988","0.3938","0.1435"
254,"амбал","Ам (звуки) + Бал (танцевальный вечер)","2026-02-08","/daily-rebuses/254.jpg","1316","1286","628","1341","0.9772","0.4772","1.0190","0.2858"
255,"глазомер","Глаз + О (соединительная гласная) + Мер (измерять)","2026-02-09","/daily-rebuses/255.jpg","1322","1314","319","556","0.9939","0.2413","0.4206","0.1270"
256,"микроб","Микро (приставка в математике) + Б","2026-02-10","/daily-rebuses/256.jpg","1338","1319","542","941","0.9858","0.4051","0.7033","0.2153"
257,"халупа","Ха (смех эмодзи) + Лупа (приспособление для увеличения)","2026-02-11","/daily-rebuses/257.jpg","1336","1306","759","1047","0.9775","0.5681","0.7837","0.2731"
258,"уголь","Угол (фигура) + Ь","2026-02-12","/daily-rebuses/258.jpg","1315","1311","127","187","0.9970","0.0966","0.1422","0.0473"
259,"спринт","С + Принт (печать на футболке)","2026-02-13","/daily-rebuses/259.jpg","1290","1281","547","1045","0.9930","0.4240","0.8101","0.2317"
260,"уловка","Улов (пойманное в озере) + Ка (буквы)","2026-02-14","/daily-rebuses/260.jpg","1248","1234","587","1039","0.9888","0.4704","0.8325","0.2492"
261,"байт","Единицы хранения информации. 8 бит = 1 байт","2026-02-15","/daily-rebuses/261.jpg","1281","1272","444","884","0.9930","0.3466","0.6901","0.1944"
262,"пушкин","Пушки (орудия) + Н (в виде буквы Н)","2026-02-16","/daily-rebuses/262.jpg","1324","1314","226","345","0.9924","0.1707","0.2606","0.0863"
263,"волгоград","Марка машин + Ледяные осадки","2026-02-17","/daily-rebuses/263.jpg","1313","1293","631","1303","0.9848","0.4806","0.9924","0.2781"
264,"мель","Мел (чем написали букву) + Ь","2026-02-18","/daily-rebuses/264.jpg","1302","1297","150","221","0.9962","0.1152","0.1697","0.0566"
265,"призрак","Приз (трофей) + Рак (существо)","2026-02-19","/daily-rebuses/265.jpg","1354","1345","543","1064","0.9934","0.4010","0.7858","0.2221"
266,"пара","Пар (газообразное состояние жидкости в чашке) + А","2026-02-20","/daily-rebuses/266.jpg","1298","1294","211","292","0.9969","0.1626","0.2250","0.0762"
267,"передача","Перед А Ча","2026-02-21","/daily-rebuses/267.jpg","1304","1295","490","935","0.9931","0.3758","0.7170","0.2056"
268,"совпадение","Сов (совы) + Падение (падают)","2026-02-22","/daily-rebuses/268.jpg","1320","1310","462","982","0.9924","0.3500","0.7439","0.2036"
269,"ягода|ягоды","Я + Года (годы)","2026-02-23","/daily-rebuses/269.jpg","1338","1337","119","201","0.9993","0.0889","0.1502","0.0452"
270,"кипарис","Кипа (ворох бумаг) + Рис (гарнир)","2026-02-24","/daily-rebuses/270.jpg","1340","1325","619","1027","0.9888","0.4619","0.7664","0.2372"
271,"колчан","Кол (единица) + Чан (емкость)","2026-02-25","/daily-rebuses/271.jpg","1337","1319","683","1382","0.9865","0.5108","1.0337","0.2908"
272,"подолог","Под О Лог","2026-02-26","/daily-rebuses/272.jpg","1351","1345","316","592","0.9956","0.2339","0.4382","0.1269"
273,"ксенон","К + Сено (стог) + Н","2026-02-27","/daily-rebuses/273.jpg","1332","1326","270","447","0.9955","0.2027","0.3356","0.1037"
274,"груздь","Груз (то, что поднимает кран) + Дь","2026-02-28","/daily-rebuses/274.jpg","1303","1286","511","701","0.9870","0.3922","0.5380","0.1866"
275,"золото","Зо (буквы) + Лото (игра)","2026-03-01","/daily-rebuses/275.jpg","1345","1333","645","1093","0.9911","0.4796","0.8126","0.2471"
276,"папаха","Папа (Римский) + Ха","2026-03-02","/daily-rebuses/276.jpg","1380","1380","92","133","1.0000","0.0667","0.0964","0.0311"
277,"тролль","Т + Ролл (блюдо) + Ь","2026-03-03","/daily-rebuses/277.jpg","1405","1404","126","222","0.9993","0.0897","0.1580","0.0465"
278,"тире","Тир (стрельбище) + Е","2026-03-04","/daily-rebuses/278.jpg","1340","1323","432","672","0.9873","0.3224","0.5015","0.1634"
279,"картавость","Карта + Вость (название)","2026-03-05","/daily-rebuses/279.jpg","1368","1365","344","691","0.9978","0.2515","0.5051","0.1399"
280,"индианка","Инди (образ индейца) + Анка (персонаж)","2026-03-06","/daily-rebuses/280.jpg","1347","1328","869","1811","0.9859","0.6451","1.3445","0.3714"
281,"шутка","Шут (арлекин) + Ка (car - машина)","2026-03-07","/daily-rebuses/281.jpg","1352","1337","556","998","0.9889","0.4112","0.7382","0.2202"
282,"зов","Зо (30 - тридцать) + В","2026-03-08","/daily-rebuses/282.jpg","1312","1303","444","862","0.9931","0.3384","0.6570","0.1873"
283,"край","К + Рай (на небесах)","2026-03-09","/daily-rebuses/283.jpg","1336","1335","204","284","0.9993","0.1527","0.2126","0.0705"
284,"торг","Тор (фигура) + Г","2026-03-10","/daily-rebuses/284.jpg","1396","1378","716","1207","0.9871","0.5129","0.8646","0.2657"
285,"британец","Бри (сыр) + Танец","2026-03-11","/daily-rebuses/285.jpg","1384","1369","700","1432","0.9892","0.5058","1.0347","0.2882"
286,"слава","С + Лава (вулканическая масса)","2026-03-12","/daily-rebuses/286.jpg","1365","1365","71","94","1.0000","0.0520","0.0689","0.0233"
287,"букашка","Бу + Кашка (небольшая каша)","2026-03-13","/daily-rebuses/287.jpg","1370","1363","286","396","0.9949","0.2088","0.2891","0.0986"
288,"краб","К + Раб (невольник)","2026-03-14","/daily-rebuses/288.jpg","1350","1332","746","1417","0.9867","0.5526","1.0496","0.3036"
289,"оружие","Ору (действие) + Жие","2026-03-15","/daily-rebuses/289.jpg","1335","1331","398","774","0.9970","0.2981","0.5798","0.1633"
290,"семья","Семь (число букв) + Я","2026-03-16","/daily-rebuses/290.jpg","1326","1325","137","150","0.9992","0.1033","0.1131","0.0433"
291,"пикет","Пике (фигура пилотажа) + Т","2026-03-17","/daily-rebuses/291.jpg","1297","1281","660","830","0.9877","0.5089","0.6399","0.2306"
292,"смех","С + Мех (материал)","2026-03-18","/daily-rebuses/292.jpg","1300","1297","162","290","0.9977","0.1246","0.2231","0.0660"
293,"подошва","Под (расположение) + О (буква на обуви) + Шва","2026-03-19","/daily-rebuses/293.jpg","1301","1300","122","160","0.9992","0.0938","0.1230","0.0424"
294,"рифма","Риф (скала под водой) + Ма","2026-03-20","/daily-rebuses/294.jpg","1173","1159","457","709","0.9881","0.3896","0.6044","0.1952"
295,"кремний","Крем (на торте) + Ний","2026-03-21","/daily-rebuses/295.jpg","1165","1154","496","860","0.9906","0.4258","0.7382","0.2228"
296,"мешок","Ме + Шок (эмоция)","2026-03-22","/daily-rebuses/296.jpg","1218","1192","813","1741","0.9787","0.6675","1.4294","0.3941"
297,"граф","Г + Раф (вид кофе)","2026-03-23","/daily-rebuses/297.jpg","1206","1193","570","1097","0.9892","0.4726","0.9096","0.2611"
298,"подвал","Под (местоположение) + В + Ал","2026-03-24","/daily-rebuses/298.jpg","1233","1233","60","75","1.0000","0.0487","0.0608","0.0213"
299,"устой","У (обращение) + Стой (приказ)","2026-03-25","/daily-rebuses/299.jpg","1215","1207","493","828","0.9934","0.4058","0.6815","0.2076"
300,"совет","Сове (кому) + Т","2026-03-26","/daily-rebuses/300.jpg","1199","1189","625","848","0.9917","0.5213","0.7073","0.2414"
301,"слуга","С + Луга (земли с растениями)","2026-03-27","/daily-rebuses/301.jpg","1194","1185","347","720","0.9925","0.2906","0.6030","0.1676"
302,"гром","Г + Ром (напиток)","2026-03-28","/daily-rebuses/302.jpg","1165","1150","172","279","0.9871","0.1476","0.2395","0.0806"
303,"городовой","Город (населенный пункт) + Овой","2026-03-29","/daily-rebuses/303.jpg","1221","1195","534","858","0.9787","0.4373","0.7027","0.2275"
304,"грильяж","Гриль (для жарки) + Яж","2026-03-30","/daily-rebuses/304.jpg","1624","1390","227","341","0.8559","0.1398","0.2100","0.1529"
305,"наука","На (где) + У + Ка","2026-03-31","/daily-rebuses/305.jpg","1478","1181","372","798","0.7991","0.2517","0.5399","0.2645"
306,"горизонт","Гори (приказ) + Зонт","2026-04-01","/daily-rebuses/306.jpg","1351","1080","314","430","0.7994","0.2324","0.3183","0.2262"
307,"хмель","Х + Мель (мелководье)","2026-04-02","/daily-rebuses/307.jpg","1250","931","560","1098","0.7448","0.4480","0.8784","0.3969"
308,"учебник","Учеб + Ник (имя персонажа)","2026-04-03","/daily-rebuses/308.jpg","1169","1072","108","169","0.9170","0.0924","0.1446","0.0946"
309,"зоопарк","Зоо (число триста) + Парк","2026-04-04","/daily-rebuses/309.jpg","1094","885","332","689","0.8090","0.3035","0.6298","0.2850"
310,"вокзал","Вок (блюдо) + За (местоположение) + Л","2026-04-05","/daily-rebuses/310.jpg","1054","852","366","643","0.8083","0.3472","0.6101","0.2933"
311,"прошлое","Прошло (форма прошедшего времени) + Е","2026-04-06","/daily-rebuses/311.jpg","1012","777","536","993","0.7678","0.5296","0.9812","0.4189"
312,"залог|подлог","За/Под (где) + Л + Ог","2026-04-07","/daily-rebuses/312.jpg","969","774","427","660","0.7988","0.4407","0.6811","0.3331"
313,"тип","Т + ИП","2026-04-08","/daily-rebuses/313.jpg","912","873","33","41","0.9572","0.0362","0.0450","0.0414"
314,"полнота","Пол (покрытие) + Нота (музыкальный знак)","2026-04-09","/daily-rebuses/314.jpg","867","769","162","294","0.8870","0.1869","0.3391","0.1654"
315,"дробина","Д (буква) + Робина (чья?)","2026-04-10","/daily-rebuses/315.jpg","788","533","339","806","0.6764","0.4302","1.0228","0.4551"
316,"город","Горо (персонаж игры) + Д","2026-04-11","/daily-rebuses/316.jpg","726","559","98","129","0.7700","0.1350","0.1777","0.1984"
317,"нефть","Не (запрет/отрицание) + Фть","2026-04-12","/daily-rebuses/317.jpg","697","649","10","17","0.9311","0.0143","0.0244","0.0486"
318,"пирамида маслоу","Пирамида (форма) + Масло (продукт) + У","2026-04-13","/daily-rebuses/318.jpg","708","572","117","263","0.8079","0.1653","0.3715","0.2123"
319,"водное поло","Водное (из воды) + Поло (одежда)","2026-04-14","/daily-rebuses/319.jpg","680","569","61","96","0.8368","0.0897","0.1412","0.1415"
320,"гроза|грозы","Г (буква) + Роза (цветок)","2026-04-15","/daily-rebuses/320.jpg","665","649","2","2","0.9759","0.0030","0.0030","0.0156"
321,"индюк","Ин (in) + Д + Юк","2026-04-16","/daily-rebuses/321.jpg","707","593","170","252","0.8388","0.2405","0.3564","0.2103"
322,"окорок|рококо","Око (глаз) + Рок (музыка)","2026-04-17","/daily-rebuses/322.jpg","688","575","172","281","0.8358","0.2500","0.4084","0.2223"
323,"леска","Лес (пространство с деревьями) + Ка (буква)","2026-04-18","/daily-rebuses/323.jpg","644","596","51","85","0.9255","0.0792","0.1320","0.0843"
324,"даль","Дал (действие) + Ь","2026-04-19","/daily-rebuses/324.jpg","645","516","329","739","0.8000","0.5101","1.1457","0.4194"
325,"начало","На (где) + Ча + Ло","2026-04-20","/daily-rebuses/325.jpg","608","569","54","84","0.9359","0.0888","0.1382","0.0814"
326,"песок","Пе + Сок","2026-04-21","/daily-rebuses/326.jpg","552","550","0","0","0.9964","0.0000","0.0000","0.0022"
327,"горох","Го (игра) + Рох","2026-04-22","/daily-rebuses/327.jpg","468","403","32","47","0.8611","0.0684","0.1004","0.1155"
328,"ток","""Кот"" в зеркальном отражении","2026-04-23","/daily-rebuses/328.jpg","0","0","0","0","0","0","0","0"
